uid,age,savvy,qpm,error,difficulty
0,1,0.375,1464.3447311555,0,0
1,1,0.54,654.53615715686,0.0065104166666667,5
2,1,0.25,450.64251765212,0,0
3,0.66666666666667,0.375,1215.478357205,0,0
4,1,0.25,705.13703346646,0,0
5,1,0.375,734.22562141491,0.0013020833333333,1
6,1,0.54,702.25703704833,0,0
7,1,0.25,748.39212629117,0,0
8,0.66666666666667,0.54,1049.3236780981,0.0013020833333333,1
9,1,0.375,696.04096491096,0.0013020833333333,1
10,0.33333333333333,0.375,953.03096109698,0,0
11,0.66666666666667,0.375,705.19098922625,0.0013020833333333,1
12,0.66666666666667,0.25,986.15361568258,0,0
13,0.33333333333333,0.375,841.2904168112,0.0013020833333333,1
14,1,0.54,1186.2225196931,0,0
15,0.66666666666667,0.665,1052.3911752615,0.0013020833333333,1
16,1,0.5,671.92580819201,0.0013020833333333,1
17,1,0.415,911.71698785169,0.0013020833333333,1
18,1,0.375,414.52268720089,0,0
19,1,0.415,592.57735140557,0,0
20,1,0.25,1298.9063028526,0,0
21,1,0.875,1164.2831876295,0,0
22,1,0.25,443.26872204319,0,0
23,0.66666666666667,0.54,1093.3940774487,0,0
24,1,0.5,1584.1584158416,0,0
25,1,0.415,1407.4096698329,0,0
26,1,0.25,743.33370973206,0,0
27,0,0.5,409.99724177203,0.0013020833333333,1
28,0.66666666666667,0.375,1162.1396686086,0.0013020833333333,1
29,0.66666666666667,0.375,776.46345162269,0,0
30,1,0.25,1084.6946942234,0,0
31,0.33333333333333,0.375,683.94336094042,0,0
32,1,0.25,630.94765380034,0,0
33,0.33333333333333,0.54,577.57388884711,0,0
34,0.66666666666667,0.25,927.42422412752,0.0013020833333333,1
35,0.66666666666667,0.54,570.16295673047,0,0
36,0.66666666666667,0.875,977.18211892442,0.0026041666666667,2
37,0.66666666666667,0.54,919.2650667305,0,0
38,0.66666666666667,0.375,966.13900828179,0.0013020833333333,1
39,1,0.375,1014.799154334,0.0052083333333333,4
40,0.66666666666667,0.54,938.68404970462,0,0
41,1,0.54,687.23807251197,0,0
42,0.66666666666667,0.375,973.17845828933,0,0
43,0.33333333333333,0.25,748.89080300986,0,0
44,0.33333333333333,0.415,949.65274199864,0,0
45,1,0.54,950.49504950495,0.0013020833333333,1
46,1,0.25,345.27457870957,0.00390625,3
47,1,0.375,792.91060827669,0.0013020833333333,1
48,1,0.375,741.63488001545,0.0013020833333333,1
49,1,0.54,782.32967182221,0,0
50,0.66666666666667,1,630.7749168412,0,0
51,1,0.5,514.69356297959,0,0
52,1,1,825.27401676338,0,0
53,0.66666666666667,0.75,746.19856525189,0,0
54,0.33333333333333,0.5,1617.7503159669,0,0
55,1,0.665,1089.9543487002,0,0
56,0.66666666666667,0.415,518.28856795789,0.00390625,3
57,0.66666666666667,1,610.39580352885,0,0
58,0.66666666666667,0.415,609.23369823893,0,0
59,0.66666666666667,0.375,1109.9335196069,0.0013020833333333,1
60,0.66666666666667,0.875,611.56235069279,0,0
61,1,0.125,1083.1139526138,0,0
62,1,0.5,1030.618863367,0.0013020833333333,1
63,1,0.5,1039.0547488049,0.0052083333333333,4
64,1,0.25,882.70789035113,0.0013020833333333,1
65,1,1,865.79110534919,0,0
66,0.66666666666667,0.25,768.83290231084,0,0
67,1,0.54,470.58342949929,0,0
68,1,0.415,1310.5056595188,0,0
69,1,0.665,996.84160429196,0,0
70,0.66666666666667,0.375,955.40212726255,0,0
71,1,0.5,371.85580903655,0,0
72,1,0.375,959.20066611157,0,0
73,1,0.54,1407.2377462208,0,0
74,1,0.415,971.31173457558,0.0013020833333333,1
75,1,0.54,415.93327737009,0,0
76,1,0.415,1036.2973957631,0.0013020833333333,1
77,0.66666666666667,0.665,654.08090844571,0,0
78,0.66666666666667,0.5,969.94190452134,0,0
79,0.66666666666667,0.415,450.8276914648,0.0013020833333333,1
80,1,0.375,1204.768876804,0,0
81,0.66666666666667,0.25,629.64582422387,0,0
82,0.66666666666667,1,486.23495024744,0.0013020833333333,1
83,0.66666666666667,0.25,723.84542884072,0,0
84,0.33333333333333,0.25,843.84785833318,0,0
85,0.66666666666667,0.375,417.39130434783,0,0
86,1,0.5,888.1693072742,0.0013020833333333,1
87,1,0.375,323.99367199859,0,0
88,1,0.665,1198.377197545,0.0013020833333333,1
89,1,0.25,934.87522824102,0,0
90,1,0.25,901.69067000626,0,0
91,0.66666666666667,0.375,662.40207000647,0,0
92,1,0.375,679.92681343328,0.03515625,27
93,1,0.665,1002.3274530703,0.0013020833333333,1
94,1,0.415,960.6404269513,0,0
95,1,0.375,778.43097506588,0.0091145833333333,7
96,1,0.125,635.80545015523,0.046875,36
97,1,0.375,985.0784556843,0.0026041666666667,2
98,0.66666666666667,0.25,1090.9865757511,0,0
99,1,0.375,1043.3128806575,0.0013020833333333,1
100,1,0.25,1138.7337517916,0,0
101,0.66666666666667,0.25,1059.99263894,0.0026041666666667,2
102,0.66666666666667,0.665,443.07692307692,0.00390625,3
103,1,0.25,765.46122028605,0,0
104,1,0.54,767.71850321549,0,0
105,0.66666666666667,0.54,832.38497805235,0,0
106,0.33333333333333,0.375,668.48488365346,0,0
107,0.66666666666667,0.375,470.56901270373,0,0
108,0.66666666666667,0.5,1035.2031990654,0.0013020833333333,1
109,1,0.665,392.63134575075,0.0065104166666667,5
110,1,0.25,1372.9404403659,0,0
111,1,0.54,996.58289718413,0,0
112,1,0.375,912.80060219484,0,0
113,0.66666666666667,0.415,1038.9141903774,0.0026041666666667,2
114,1,0.375,411.00655576863,0.20052083333333,154
115,1,0.665,1297.5895471953,0.0026041666666667,2
116,1,0.375,619.81303382877,0,0
117,1,0.415,629.93848257006,0,0
118,1,0.54,897.52829122923,0,0
119,1,0.125,1092.0207597697,0,0
120,1,0.25,821.05375692675,0,0
121,0.66666666666667,0.415,779.5371498173,0.0026041666666667,2
122,1,0.54,880.76761344088,0,0
123,1,0.54,709.01033973412,0,0
124,1,0.375,640.916867185,0,0
125,0.66666666666667,0.665,978.13627679898,0,0
126,0.66666666666667,0.25,263.56580279467,0.359375,276
127,0.66666666666667,0.415,936.12871769868,0.0026041666666667,2
128,1,0.54,1127.3670303861,0.0026041666666667,2
129,1,0.25,778.77302687173,0,0
130,1,0.375,372.41780622636,0,0
131,1,0.25,789.04109589041,0.0013020833333333,1
132,1,0.54,977.07851826721,0,0
133,1,0.5,937.53814852492,0,0
134,0.66666666666667,0.875,993.25329252258,0.0013020833333333,1
135,1,0.375,973.15790585204,0,0
136,1,0.415,875.87911043528,0,0
137,1,0.665,1063.7119113573,0,0
138,0.66666666666667,0.415,946.47331881855,0,0
139,0.66666666666667,0.54,933.70076187389,0.0013020833333333,1
140,1,0.5,1051.8386632884,0,0
141,0.66666666666667,0.54,497.14100765994,0.0013020833333333,1
142,0.66666666666667,0.25,796.12992398065,0,0
143,1,0.375,976.49876030431,0.0013020833333333,1
144,1,0.375,666.23292127521,0,0
145,1,0.25,765.91925269684,0,0
146,1,0.5,955.22388059701,0,0
147,0.66666666666667,0.5,274.52428896541,0.00390625,3
148,0.66666666666667,0.875,1193.9989117197,0,0
149,1,0.375,759.45611866502,0.0065104166666667,5
150,1,0.375,596.46624813928,0.06640625,51
151,1,0.415,518.52768744303,0,0
152,1,0.5,861.72719452444,0,0
153,1,0.375,516.81789123047,0,0
154,1,0.415,321.82366744888,0.0013020833333333,1
155,1,0.125,822.57805387458,0,0
156,1,0.5,683.15246397438,0.0013020833333333,1
157,1,0.375,652.63575333541,0,0
158,1,0.375,538.29260314939,0.0013020833333333,1
159,1,0.25,1028.8929576207,0,0
160,0.66666666666667,0.5,654.57334829609,0.0013020833333333,1
161,0.66666666666667,0.415,1024.0682712181,0.0013020833333333,1
162,0.66666666666667,0.415,624.55103617462,0,0
163,0.66666666666667,0.665,469.60988137459,0.0013020833333333,1
164,1,0.25,828.58324492475,0.0013020833333333,1
165,1,0.875,1212.823077328,0.0013020833333333,1
166,0.66666666666667,0.875,549.57243550753,0,0
167,1,0.665,579.14184450645,0.03125,24
168,1,0.25,745.37778424807,0,0
169,1,1,1010.9475439328,0.0091145833333333,7
170,1,0.25,715.38354058963,0.00390625,3
171,1,0.415,593.45499504166,0.04296875,33
172,0.66666666666667,0.415,1010.0168774522,0,0
173,1,0.54,1172.1909897993,0,0
174,0.66666666666667,0.415,650.70040668775,0,0
175,1,0.25,708.6069292162,0.0026041666666667,2
176,1,0.25,1330.5997516676,0,0
177,0.66666666666667,0,770.27230329472,0,0
178,0.66666666666667,0.375,1017.2185430464,0,0
179,1,1,1027.3789351645,0.0013020833333333,1
180,0.66666666666667,0.125,944.57199081666,0,0
181,0.33333333333333,0.125,920.05430876128,0.0013020833333333,1
182,1,0.375,1009.7291611885,0,0
183,1,0.25,902.82131661442,0,0
184,1,0.54,789.73075802499,0,0
185,0.33333333333333,0.25,540.5024984165,0,0
186,1,0.25,1371.6735131273,0,0
187,0.66666666666667,0.415,921.6,0,0
