#age = 20-70
#compuse = when did you start using a computer? 1970-2005
#netuse = when did you start using the internet? 1970-2005
#computers = how many computers do you own? 0-5
#website = do you know how to build a website?
uid,age,compuse,netuse,computers,website,mouse,browser
0,20,2000,1982,1,no,touchpad,IE 8.0
1,20,1984,1982,1,sorta,touchpad,Chrome 7.0.517
2,20,2000,1993,1,no,touchpad,Chrome 7.0.517
3,30,1984,1982,3,amateur,regular,Firefox 3.5.15
4,20,2000,1993,1,amateur,regular,Firefox 3.6.12
5,20,2000,1982,3,amateur,touchpad,Firefox 3.6.10
6,20,1995,1982,1,sorta,touchpad,Safari 5.0
7,20,2000,1993,1,amateur,touchpad,Firefox 3.6.12
8,30,1995,1982,2,sorta,regular,Firefox 3.6.3
9,20,2000,1982,3,no,touchpad,IE 8.0
10,50,1984,1982,1,amateur,regular,Firefox 3.6.12
11,30,1984,1982,4,no,regular,IE 8.0
12,30,1984,1993,1,no,regular,Firefox 3.5.14
13,50,1970,1982,3,amateur,regular,Chrome 8.0.552
14,20,1984,1982,3,sorta,regular,Safari 5.0.2
15,30,1995,1970,3,sorta,regular,Firefox 3.6.12
16,20,1995,1970,3,no,touchpad,IE 8.0
17,20,1995,1993,2,sorta,touchpad,Firefox 3.6.12
18,20,2000,1982,2,no,regular,Firefox 3.6.8
19,20,1984,1993,1,sorta,touchpad,Safari 5.0.2
20,20,2000,1993,1,no,touchpad,Firefox 3.6.12
21,20,1995,1982,2,pro,touchpad,IE 8.0
22,20,1984,1993,1,amateur,other,IE 8.0
23,30,1984,1982,2,sorta,trackball,Firefox 3.6.1
24,20,1995,1970,3,no,regular,Firefox 3.6.12
25,20,1995,1993,2,sorta,regular,Chrome 7.0.517
26,20,2000,1993,1,amateur,regular,Chrome 7.0.517
27,70,2000,1970,2,no,trackball,Firefox 2.0.0
28,30,1984,1982,2,no,regular,Firefox 3.6.12
29,30,1970,1982,3,amateur,regular,Firefox 3.6.11
30,20,2000,1993,1,amateur,regular,Firefox 3.6.10
31,50,1984,1982,0,no,regular,IE 8.0
32,20,1995,1993,2,amateur,regular,Firefox 3.6.12
33,50,1984,1982,2,sorta,regular,Firefox 3.6.12
34,30,1984,1993,2,no,regular,IE 8.0
35,30,1995,1982,2,sorta,regular,Firefox 3.0.4
36,30,1984,1982,2,pro,regular,Chrome 7.0.517
37,30,1995,1982,1,sorta,regular,IE 8.0
38,30,1984,1982,1,no,touchpad,Firefox 3.6.12
39,20,2000,1982,1,no,regular,Chrome 7.0.517
40,30,1995,1982,1,sorta,regular,Firefox 3.6.12
41,20,1995,1982,2,sorta,touchpad,Chrome 7.0.517
42,30,1984,1982,1,no,regular,Firefox 3.6.12
43,50,1984,1993,1,no,regular,IE 8.0
44,50,1984,1993,1,sorta,regular,Firefox 3.6.11
45,20,2005,1982,1,sorta,regular,Chrome 7.0.517
46,20,2000,1993,2,amateur,touchpad,Safari 5.0.2
47,20,2000,1982,1,no,touchpad,Firefox 3.6.12
48,20,1984,1982,2,amateur,touchpad,Chrome 7.0.517
49,20,1995,1982,3,sorta,touchpad,Firefox 3.6.12
50,30,1970,1970,1,pro,touchpad,Chrome 8.0.552
51,20,1995,1970,2,amateur,touchpad,Firefox 3.6.12
52,20,1984,1970,5,pro,touchpad,Chrome 9.0.570
53,30,1970,1993,5,pro,regular,Firefox 3.6.12
54,50,1995,1970,1,no,regular,IE 8.0
55,20,1995,1970,1,sorta,touchpad,IE 8.0
56,30,2005,1993,2,sorta,regular,Firefox 3.6.12
57,30,1984,1970,3,pro,touchpad,Firefox 3.6.12
58,30,1995,1993,4,sorta,touchpad,Safari 4.0.5
59,30,2000,1982,1,no,regular,Firefox 3.6.12
60,30,1984,1982,2,pro,touchpad,IE 8.0
61,20,2000,2000,2,no,touchpad,Firefox 3.6.12
62,20,2000,1970,2,amateur,regular,IE 8.0
63,20,2000,1970,1,amateur,regular,Flock 2.0.3
64,20,2000,1993,1,no,touchpad,Safari 5.0.2
65,20,1984,1970,2,pro,regular,Firefox 3.6.12
66,30,1995,1993,2,no,touchpad,IE 8.0
67,20,2000,1982,1,sorta,regular,Chrome 7.0.517
68,20,1995,1993,4,sorta,regular,Firefox 3.6.12
69,20,1995,1970,1,sorta,regular,Chrome 6.0.437
70,30,1984,1982,3,no,regular,Firefox 3.0.19
71,20,1995,1970,1,no,touchpad,Chrome 7.0.517
72,20,1984,1982,1,no,regular,Firefox 3.6.12
