relay,lat,rate,obs,up,down
direct,100.0,50,1,1.362,31.309
direct,100.0,50,2,1.254,53.347
direct,100.0,50,3,1.32,53.562
direct,100.0,50,4,1.254,53.407
direct,100.0,50,5,1.32,53.407
direct,100.0,50,6,1.254,52.615
direct,100.0,50,7,1.254,53.347
direct,100.0,50,8,1.32,52.84
direct,100.0,50,9,1.422,52.77
direct,100.0,50,10,1.95,54.358
direct,100.0,50,11,1.32,52.555
direct,100.0,50,12,1.254,53.347
direct,100.0,50,13,1.32,54.354
direct,100.0,50,14,1.864,53.347
direct,100.0,50,15,1.254,52.555
direct,100.0,50,16,1.32,52.84
direct,100.0,50,17,1.32,53.347
direct,100.0,50,18,1.254,54.354
direct,100.0,50,19,1.32,52.555
direct,100.0,50,20,1.254,53.347
direct,100.0,150,1,2.887,96.28
direct,100.0,150,2,3.564,158.55
direct,100.0,150,3,3.63,159.349
direct,100.0,150,4,3.63,156.321
direct,100.0,150,5,3.564,159.653
direct,100.0,150,6,3.63,157.835
direct,100.0,150,7,3.564,157.835
direct,100.0,150,8,3.63,157.835
direct,100.0,150,9,3.564,157.835
direct,100.0,150,10,3.63,157.835
direct,100.0,150,11,3.564,157.835
direct,100.0,150,12,3.63,157.835
direct,100.0,150,13,3.564,158.55
direct,100.0,150,14,3.63,157.835
direct,100.0,150,15,3.63,157.835
direct,100.0,150,16,3.564,157.835
direct,100.0,150,17,3.63,157.895
direct,100.0,150,18,3.564,157.835
direct,100.0,150,19,3.63,157.835
direct,100.0,150,20,3.564,157.835
direct,100.0,300,1,4.837,172.195
direct,100.0,300,2,7.656,343.949
direct,100.0,300,3,7.194,315.115
direct,100.0,300,4,7.062,312.323
direct,100.0,300,5,7.26,316.578
direct,100.0,300,6,7.128,313.828
direct,100.0,300,7,7.26,315.004
direct,100.0,300,8,7.26,315.004
direct,100.0,300,9,7.128,313.828
direct,100.0,300,10,7.26,315.115
direct,100.0,300,11,7.194,313.828
direct,100.0,300,12,7.194,315.07
direct,100.0,300,13,7.128,315.004
direct,100.0,300,14,7.26,313.888
direct,100.0,300,15,7.194,315.368
direct,100.0,300,16,7.194,313.888
direct,100.0,300,17,7.26,315.004
direct,100.0,300,18,7.194,315.07
direct,100.0,300,19,7.062,313.828
direct,100.0,300,20,7.26,315.115
direct,150.0,50,1,2.328,51.989
direct,150.0,50,2,1.32,53.055
direct,150.0,50,3,1.32,53.486
direct,150.0,50,4,1.254,53.546
direct,150.0,50,5,1.32,53.115
direct,150.0,50,6,1.32,54.053
direct,150.0,50,7,1.32,53.055
direct,150.0,50,8,1.32,53.486
direct,150.0,50,9,1.254,53.486
direct,150.0,50,10,1.32,53.055
direct,150.0,50,11,1.32,53.486
direct,150.0,50,12,1.32,53.055
direct,150.0,50,13,1.32,53.486
direct,150.0,50,14,1.254,53.486
direct,150.0,50,15,1.32,53.055
direct,150.0,50,16,1.32,53.486
direct,150.0,50,17,1.254,53.562
direct,150.0,50,18,1.32,53.486
direct,150.0,50,19,1.32,53.055
direct,150.0,50,20,1.32,53.486
direct,150.0,150,1,1.939,64.164
direct,150.0,150,2,4.026,163.467
direct,150.0,150,3,3.63,157.224
direct,150.0,150,4,3.564,158.116
direct,150.0,150,5,3.564,158.479
direct,150.0,150,6,3.63,157.224
direct,150.0,150,7,3.564,157.434
direct,150.0,150,8,3.564,158.116
direct,150.0,150,9,3.564,158.175
direct,150.0,150,10,3.564,157.165
direct,150.0,150,11,3.564,158.175
direct,150.0,150,12,3.564,157.224
direct,150.0,150,13,3.564,158.175
direct,150.0,150,14,3.63,157.224
direct,150.0,150,15,3.564,158.175
direct,150.0,150,16,3.63,157.519
direct,150.0,150,17,3.564,158.175
direct,150.0,150,18,3.63,157.224
direct,150.0,150,19,3.498,158.175
direct,150.0,150,20,3.63,157.165
direct,150.0,300,1,2.665,92.484
direct,150.0,300,2,5.544,213.474
direct,150.0,300,3,6.468,293.716
direct,150.0,300,4,8.712,398.302
direct,150.0,300,5,9.372,405.883
direct,150.0,300,6,7.062,315.207
direct,150.0,300,7,6.996,315.379
direct,150.0,300,8,7.062,315.49
direct,150.0,300,9,7.062,313.582
direct,150.0,300,10,6.996,315.49
direct,150.0,300,11,7.062,313.693
direct,150.0,300,12,7.062,315.379
direct,150.0,300,13,6.996,315.379
direct,150.0,300,14,7.062,313.753
direct,150.0,300,15,7.062,315.854
direct,150.0,300,16,6.996,315.55
direct,150.0,300,17,7.062,313.738
direct,150.0,300,18,6.93,315.379
direct,150.0,300,19,7.128,313.582
direct,150.0,300,20,7.062,315.379
direct,200.0,50,1,2.868,55.929
direct,200.0,50,2,1.32,53.92
direct,200.0,50,3,1.32,53.847
direct,200.0,50,4,1.32,53.4
direct,200.0,50,5,1.32,53.907
direct,200.0,50,6,1.254,52.393
direct,200.0,50,7,1.32,53.847
direct,200.0,50,8,1.254,53.847
direct,200.0,50,9,1.32,53.34
direct,200.0,50,10,1.32,52.333
direct,200.0,50,11,1.32,53.907
direct,200.0,50,12,1.32,53.583
direct,200.0,50,13,1.32,52.84
direct,200.0,50,14,1.32,53.34
direct,200.0,50,15,1.32,53.847
direct,200.0,50,16,1.254,53.847
direct,200.0,50,17,1.32,52.333
direct,200.0,50,18,1.32,53.847
direct,200.0,50,19,1.32,53.847
direct,200.0,50,20,1.32,53.27
direct,200.0,150,1,1.453,26.245
direct,200.0,150,2,3.168,155.942
direct,200.0,150,3,4.422,173.031
direct,200.0,150,4,3.564,156.561
direct,200.0,150,5,3.564,159.566
direct,200.0,150,6,3.564,157.748
direct,200.0,150,7,3.564,157.748
direct,200.0,150,8,3.498,157.748
direct,200.0,150,9,3.564,157.748
direct,200.0,150,10,3.564,157.748
direct,200.0,150,11,3.564,157.748
direct,200.0,150,12,3.564,157.748
direct,200.0,150,13,3.564,157.748
direct,200.0,150,14,3.63,156.443
direct,200.0,150,15,3.498,157.807
direct,200.0,150,16,3.564,157.748
direct,200.0,150,17,3.564,157.748
direct,200.0,150,18,3.564,157.748
direct,200.0,150,19,3.564,157.748
direct,200.0,150,20,3.564,157.748
direct,200.0,300,1,2.551,47.005
direct,200.0,300,2,3.168,152.914
direct,200.0,300,3,4.224,202.936
direct,200.0,300,4,5.214,228.674
direct,200.0,300,5,6.864,278.636
direct,200.0,300,6,8.184,384.556
direct,200.0,300,7,12.144,561.694
direct,200.0,300,8,11.286,434.332
direct,200.0,300,9,6.93,316.356
direct,200.0,300,10,6.93,313.379
direct,200.0,300,11,6.93,316.296
direct,200.0,300,12,6.93,313.944
direct,200.0,300,13,6.93,314.893
direct,200.0,300,14,6.93,314.842
direct,200.0,300,15,6.93,313.743
direct,200.0,300,16,6.864,314.842
direct,200.0,300,17,6.93,314.893
direct,200.0,300,18,6.93,314.782
direct,200.0,300,19,6.93,314.782
direct,200.0,300,20,6.93,314.893
direct,250.0,50,1,3.792,63.373
direct,250.0,50,2,0.99,51.871
direct,250.0,50,3,1.188,53.368
direct,250.0,50,4,1.188,53.712
direct,250.0,50,5,1.188,51.914
direct,250.0,50,6,1.122,53.712
direct,250.0,50,7,1.188,53.368
direct,250.0,50,8,1.188,53.368
direct,250.0,50,9,1.188,52.138
direct,250.0,50,10,1.188,53.368
direct,250.0,50,11,1.188,53.652
direct,250.0,50,12,1.188,51.854
direct,250.0,50,13,1.122,53.652
direct,250.0,50,14,2.04,52.573
direct,250.0,50,15,1.716,53.649
direct,250.0,50,16,1.32,53.649
direct,250.0,50,17,1.254,52.135
direct,250.0,50,18,1.32,54.222
direct,250.0,50,19,1.32,51.919
direct,250.0,50,20,1.41,53.739
direct,250.0,150,1,1.429,14.776
direct,250.0,150,2,2.046,101.014
direct,250.0,150,3,2.904,143.83
direct,250.0,150,4,3.828,169.568
direct,250.0,150,5,4.554,206.208
direct,250.0,150,6,4.314,165.213
direct,250.0,150,7,3.696,157.828
direct,250.0,150,8,3.762,157.828
direct,250.0,150,9,3.63,157.887
direct,250.0,150,10,3.696,157.828
direct,250.0,150,11,3.696,157.887
direct,250.0,150,12,3.63,157.887
direct,250.0,150,13,3.696,157.828
direct,250.0,150,14,3.696,157.828
direct,250.0,150,15,3.696,157.828
direct,250.0,150,16,3.564,157.946
direct,250.0,150,17,3.696,157.828
direct,250.0,150,18,3.696,157.828
direct,250.0,150,19,3.63,157.821
direct,250.0,150,20,3.696,157.828
direct,250.0,300,1,2.863,40.692
direct,250.0,300,2,2.244,97.986
direct,250.0,300,3,2.706,137.834
direct,250.0,300,4,3.3,172.656
direct,250.0,300,5,4.62,204.45
direct,250.0,300,6,6.006,275.548
direct,250.0,300,7,9.504,387.584
direct,250.0,300,8,13.2,608.628
direct,250.0,300,9,11.88,443.187
direct,250.0,300,10,6.864,314.539
direct,250.0,300,11,6.864,314.65
direct,250.0,300,12,6.864,314.65
direct,250.0,300,13,6.798,314.65
direct,250.0,300,14,6.93,313.256
direct,250.0,300,15,6.864,314.599
direct,250.0,300,16,6.864,314.954
direct,250.0,300,17,6.864,314.65
direct,250.0,300,18,6.864,314.539
direct,250.0,300,19,6.798,314.65
direct,250.0,300,20,6.93,314.539
direct,300.0,50,1,4.459,79.401
direct,300.0,50,2,1.127,40.408
direct,300.0,50,3,1.452,53.864
direct,300.0,50,4,1.386,52.977
direct,300.0,50,5,1.254,53.713
direct,300.0,50,6,1.32,52.857
direct,300.0,50,7,1.32,52.857
direct,300.0,50,8,1.32,53.653
direct,300.0,50,9,1.254,52.857
direct,300.0,50,10,1.386,53.864
direct,300.0,50,11,1.254,52.139
direct,300.0,50,12,1.32,52.857
direct,300.0,50,13,1.32,54.371
direct,300.0,50,14,1.31868,52.2977
direct,300.0,50,15,1.254,52.646
direct,300.0,50,16,1.32,52.857
direct,300.0,50,17,1.32,54.371
direct,300.0,50,18,1.32,52.646
direct,300.0,50,19,1.32,52.35
direct,300.0,50,20,1.32,54.371
direct,300.0,150,1,1.345,16.87
direct,300.0,150,2,1.062,69.22
direct,300.0,150,3,2.442,98.41
direct,300.0,150,4,3.168,115.064
direct,300.0,150,5,2.97,163.512
direct,300.0,150,6,3.894,204.694
direct,300.0,150,7,6.204,259.53
direct,300.0,150,8,4.686,158.679
direct,300.0,150,9,3.498,159.067
direct,300.0,150,10,3.498,157.106
direct,300.0,150,11,3.564,157.106
direct,300.0,150,12,3.498,159.067
direct,300.0,150,13,3.432,157.165
direct,300.0,150,14,3.564,157.106
direct,300.0,150,15,3.498,158.679
direct,300.0,150,16,3.498,157.494
direct,300.0,150,17,3.588,157.255
direct,300.0,150,18,3.564,158.62
direct,300.0,150,19,3.432,157.494
direct,300.0,150,20,3.564,157.165
direct,300.0,300,1,2.941,48.734
direct,300.0,300,2,1.062,67.706
direct,300.0,300,3,2.442,99.984
direct,300.0,300,4,3.234,115.124
direct,300.0,300,5,3.102,171.142
direct,300.0,300,6,4.224,210.446
direct,300.0,300,7,6.204,292.202
direct,300.0,300,8,10.758,431.49
direct,300.0,300,9,14.718,661.618
direct,300.0,300,10,9.966,334.927
direct,300.0,300,11,6.996,313.495
direct,300.0,300,12,7.128,313.495
direct,300.0,300,13,6.996,317.023
direct,300.0,300,14,6.996,313.555
direct,300.0,300,15,7.062,314.958
direct,300.0,300,16,6.93,314.359
direct,300.0,300,17,6.996,315.12
direct,300.0,300,18,7.062,315.009
direct,300.0,300,19,7.062,314.898
direct,300.0,300,20,7.062,313.995
direct,350.0,50,1,5.341,92.502
direct,350.0,50,2,0.533,30.896
direct,350.0,50,3,1.716,52.781
direct,350.0,50,4,1.32,52.913
direct,350.0,50,5,1.254,53.348
direct,350.0,50,6,1.32,52.841
direct,350.0,50,7,1.32,53.288
direct,350.0,50,8,1.32,54.295
direct,350.0,50,9,1.32,53.288
direct,350.0,50,10,1.386,52.346
direct,350.0,50,11,1.32,53.288
direct,350.0,50,12,1.254,53.288
direct,350.0,50,13,1.32,52.781
direct,350.0,50,14,1.32,53.288
direct,350.0,50,15,1.32,53.288
direct,350.0,50,16,1.32,52.346
direct,350.0,50,17,1.32,53.288
direct,350.0,50,18,1.254,54.295
direct,350.0,50,19,1.32,51.774
direct,350.0,50,20,1.32,53.288
direct,350.0,150,1,1.519,20.11
direct,350.0,150,2,0.534,37.502
direct,350.0,150,3,2.508,93.868
direct,350.0,150,4,2.442,101.438
direct,350.0,150,5,2.442,99.924
direct,350.0,150,6,3.3,169.872
direct,350.0,150,7,5.082,254.352
direct,350.0,150,8,8.118,281.488
direct,350.0,150,9,4.026,158.109
direct,350.0,150,10,3.564,156.536
direct,350.0,150,11,3.498,158.05
direct,350.0,150,12,3.63,157.991
direct,350.0,150,13,3.498,158.05
direct,350.0,150,14,3.63,157.367
direct,350.0,150,15,3.432,158.109
direct,350.0,150,16,3.564,156.536
direct,350.0,150,17,3.564,158.05
direct,350.0,150,18,3.564,158.05
direct,350.0,150,19,3.564,158.05
direct,350.0,150,20,3.564,157.367
direct,350.0,300,1,3.397,55.842
direct,350.0,300,2,0.534,37.502
direct,350.0,300,3,2.046,95.442
direct,350.0,300,4,2.508,104.526
direct,350.0,300,5,2.508,89.386
direct,350.0,300,6,2.574,160.484
direct,350.0,300,7,5.28,254.352
direct,350.0,300,8,8.316,337.622
direct,350.0,300,9,10.89,481.452
direct,350.0,300,10,15.51,618.807
direct,350.0,300,11,7.986,314.09
direct,350.0,300,12,6.93,313.646
direct,350.0,300,13,6.93,315.16
direct,350.0,300,14,6.996,315.739
direct,350.0,300,15,6.93,313.706
direct,350.0,300,16,6.93,316.13
direct,350.0,300,17,6.93,313.157
direct,350.0,300,18,6.93,315.16
direct,350.0,300,19,6.996,315.16
direct,350.0,300,20,6.996,314.105
direct,400.0,50,1,6.0,108.076
direct,400.0,50,2,0.426,14.449
direct,400.0,50,3,1.65,58.844
direct,400.0,50,4,1.254,53.839
direct,400.0,50,5,1.254,53.198
direct,400.0,50,6,1.386,53.212
direct,400.0,50,7,1.254,53.138
direct,400.0,50,8,1.386,53.212
direct,400.0,50,9,1.254,52.131
direct,400.0,50,10,1.32,53.212
direct,400.0,50,11,1.32,53.138
direct,400.0,50,12,1.32,53.212
direct,400.0,50,13,1.32,53.138
direct,400.0,50,14,1.32,53.212
direct,400.0,50,15,1.32,53.138
direct,400.0,50,16,1.32,53.212
direct,400.0,50,17,1.32,53.138
direct,400.0,50,18,1.32,54.726
direct,400.0,50,19,1.32,52.131
direct,400.0,50,20,1.32,53.212
direct,400.0,150,1,1.602,22.704
direct,400.0,150,2,0.559,14.792
direct,400.0,150,3,1.584,86.298
direct,400.0,150,4,1.584,66.616
direct,400.0,150,5,2.31,113.55
direct,400.0,150,6,2.046,101.742
direct,400.0,150,7,4.686,189.25
direct,400.0,150,8,5.016,272.52
direct,400.0,150,9,9.636,318.239
direct,400.0,150,10,3.828,159.112
direct,400.0,150,11,3.498,157.957
direct,400.0,150,12,3.498,157.706
direct,400.0,150,13,3.498,157.957
direct,400.0,150,14,3.432,157.421
direct,400.0,150,15,3.498,157.898
direct,400.0,150,16,3.498,157.421
direct,400.0,150,17,3.432,157.898
direct,400.0,150,18,3.498,157.421
direct,400.0,150,19,3.498,156.443
direct,400.0,150,20,3.432,158.876
direct,400.0,300,1,3.708,63.562
direct,400.0,300,2,0.691,14.792
direct,400.0,300,3,1.386,83.33
direct,400.0,300,4,1.716,69.704
direct,400.0,300,5,2.376,110.582
direct,400.0,300,6,2.244,118.092
direct,400.0,300,7,4.488,195.306
direct,400.0,300,8,5.28,277.062
direct,400.0,300,9,11.94,275.548
direct,400.0,300,10,9.174,317.94
direct,400.0,300,11,7.26,336.108
direct,400.0,300,12,8.052,357.304
direct,400.0,300,13,7.656,373.958
direct,400.0,300,14,7.986,352.822
direct,400.0,300,15,7.854,402.784
direct,400.0,300,16,8.58,380.378
direct,400.0,300,17,9.372,457.228
direct,400.0,300,18,10.296,406.774
direct,400.0,300,19,6.996,313.722
direct,400.0,300,20,6.864,315.509
direct,450.0,50,1,6.924,123.176
direct,450.0,50,2,0.36,8.393
direct,450.0,50,3,1.254,53.222
direct,450.0,50,4,1.452,53.49
direct,450.0,50,5,1.188,52.917
direct,450.0,50,6,1.254,53.858
direct,450.0,50,7,1.188,54.018
direct,450.0,50,8,1.254,52.857
direct,450.0,50,9,1.188,52.857
direct,450.0,50,10,1.188,52.857
direct,450.0,50,11,1.32,52.857
direct,450.0,50,12,1.188,54.018
direct,450.0,50,13,1.188,52.857
direct,450.0,50,14,1.254,52.284
direct,450.0,50,15,1.254,52.857
direct,450.0,50,16,1.188,54.371
direct,450.0,50,17,1.254,52.504
direct,450.0,50,18,1.188,52.857
direct,450.0,50,19,1.188,53.798
direct,450.0,50,20,1.254,52.857
